"First Name","Last Name","Gender","Age","Email","Phone","Experience (Years)","Salary"
"Oliver","Jones","Male","18","o.jones@randatmail.com","441-0654-57","0","5587"
"April","Lloyd","Female","18","a.lloyd@randatmail.com","127-1869-31","0","8476"
"Abigail","Ferguson","Female",,"a.ferguson@randatmail.com","930-3320-86","11","710"
"Adrianna","Brooks","Female","20","a.brooks@randatmail.com","055-9567-29","0","6606"
"Derek","Adams","Male","28","d.adams@rand","923-7060-38","8","6791"
"Annabella","Foster","Female","28","a.foster@randatmail.com","270-6354-20","8","7613"
"George","Hall","Male","27","g.hall@randatmail.com","332-4354-43","3","5147"
"Kelvin","Allen","Male","23","k.allen@randatmail.com","592-9917-03","4","704"
"Alexander","Russell","Male","21","a.russell@randatmail.com","318-7277-80","0","7644"
"Tiana","Cunningham","Alien","21","","760-5075-65","10","5183"
"Vincent","Ross","Male","22","v.ross@randatmail.com","895-6499-81","4","3049"
"Charlie","Hunt","Male","age","c.hunt@randatmail.com","984-2627-53","7","4813"
"Camila","Perry","Female","22","c.perry@randatmail.com","159-9812-10","7","8483"
"Sydney","Ryan","Female","19","s.ryan@randatmail.com","670-1354-21","5","3570"
"Reid","Adams","Male","260","r.adams@randatmail.com","714-5282-05","10000","4237"
"Sydney","Ryan","Female","19","s.ryan@randatmail.com","670-1354-21","5","3570"
